featureID,featureEnable,featureGTIS,SortBy
"1","21181|13310|","25275","-1"
"11","20021","20025","-1"
"17","20601|12420|12790|","23035","-1"
"20","20221","20225","-1"
"21","10020|11470|","23005","-1"
"23","11350|14210|20651|20661|12490|21301|","23045","-1"
"26","20061","20065","-1"
"32","20051","20055","-1"
"33","20001|10030|","23105","-1"
"39","20131","20135","-1"
"43","20011","20015","-1"
"44","21781","21785","-1"
"54","11450|14250|11410|11120|13600|","23025","-1"
"55","10210|10220|","20195","-1"
"56","1001|1003|1005|1006|1009|1010|1011|2001|2002|2003|2004|2005|2006|2010|3005|3001|3002|3003|3004|4001|4003|4004|4005|4006|4010|2007|5001|5002|5003|5005|5006|5007|5015|","23255","-1"
"65","20761","20765","-1"
"9","10000|10050|10060|10070|10200|10890|10900|11420|12800|13030|22051|","23015","-1"
