featureID,subFeatureID,subFeatureEnable,subFeatureGTIS,subFeatureParent,SortBy
"1","0","0","0","1","-1"
"10","0","0","0","10","-1"
"11","0","0","0","11","-1"
"14","0","0","0","14","-1"
"14","23261","12160|12180|12170|","0","14","-1"
"14","23271","12050|12070|12060|","0","14","-1"
"14","23281","12120|12140|12130|12150|","0","14","-1"
"14","23291","12080|12100|12090|12110|","0","14","-1"
"16","0","0","0","16","-1"
"17","0","0","0","17","-1"
"17","21631","21631","0","17","-1"
"20","20091","20091","0","20","-1"
"21","0","0","0","21","-1"
"23","0","0","0","23","-1"
"23","20651","206510","0","23","-1"
"26","0","0","0","26","-1"
"3","0","0","0","3","-1"
"32","0","0","0","32","-1"
"32","20071","20071","0","32","-1"
"32","22081","22081","0","32","-1"
"36","0","0","0","36","-1"
"36","13320","13320","0","36","-1"
"36","13330","13330","0","36","-1"
"36","13340","13340","0","36","-1"
"36","13350","13350","0","36","-1"
"36","13360","13360","0","36","-1"
"36","13370","13370","0","36","-1"
"36","13380","13380","0","36","-1"
"36","13390","13390","0","36","-1"
"36","13400","13400","0","36","-1"
"36","13410","13410","0","36","-1"
"36","13420","13420","0","36","-1"
"36","13430","13430","0","36","-1"
"36","13440","13440","0","36","-1"
"36","13450","13450","0","36","-1"
"36","13460","13460","0","36","-1"
"36","13470","13470","0","36","-1"
"36","13480","13480","0","36","-1"
"36","13490","13490","0","36","-1"
"36","13500","13500","0","36","-1"
"36","13510","13510","0","36","-1"
"36","13540","13540","0","36","-1"
"39","0","0","0","39","-1"
"43","0","0","0","43","-1"
"43","21381","21381","0","43","-1"
"44","0","0","0","44","-1"
"47","0","0","0","47","-1"
"52","0","0","0","52","-1"
"54","0","0","0","54","-1"
"54","21581","21581","0","54","-1"
"55","0","0","0","55","-1"
"56","23051","3001|3002|3003|3004|3005|","0","56","-1"
"56","23061","1001|1003|1005|1006|","0","56","-1"
"56","23071","1009|1010|1011|","0","56","-1"
"56","23081","2001|2002|2003|2004|2005|2006|2010|","0","56","-1"
"56","23091","2007|5002|5015|5017|5018|5006|5005|5007|","0","56","-1"
"56","25051","4001|4010|4003|4004|4005|4006|","0","56","-1"
"61","0","0","0","61","-1"
"62","0","0","0","62","-1"
"7","0","0","0","7","-1"
