featureID,subFeatureID,parameterID
"101","0","14560"
"101","0","14570"
"11","0","10090"
"11","0","10870"
"11","0","10880"
"11","0","20611"
"11","0","21491"
"11","0","25201"
"131","0","14080"
"17","0","11540"
"17","0","11580"
"17","0","12410"
"17","0","12424"
"17","0","12930"
"17","0","20601"
"17","0","21251"
"2","0","15170"
"20","0","20091"
"20","0","21171"
"20","0","22911"
"23","0","104031"
"23","0","105044"
"23","0","14210"
"23","0","14340"
"23","0","14590"
"23","0","14600"
"23","0","15440"
"23","0","20651"
"23","0","20661"
"23","0","21241"
"23","0","21301"
"26","0","11430"
"26","0","11440"
"3","0","14180"
"32","0","10170"
"32","0","15432"
"32","0","15536"
"32","0","22991"
"32","15430","15431"
"32","20071","12910"
"35","0","22801"
"35","0","22811"
"35","0","22821"
"39","0","10280"
"39","0","10290"
"39","0","10860"
"39","0","14230"
"39","0","15180"
"44","0","12280"
"44","0","12290"
"44","0","12300"
"44","0","12310"
"44","0","12830"
"44","0","12840"
"44","0","12850"
"44","0","12860"
"44","0","12870"
"44","0","12880"
"44","0","12920"
"44","0","12925"
"44","0","15200"
"44","0","20621"
"44","0","21791"
"46","20211","10000"
"46","20211","10890"
"46","20211","10900"
"46","20211","13590"
"46","20211","15501"
"46","20211","25891"
"46","21641","15500"
"47","0","22161"
"509","0","15513"
"509","0","15514"
"509","0","15515"
"509","0","15516"
"55","0","10210"
"55","0","10220"
"55","0","11160"
"55","0","12940"
"55","0","12950"
"55","0","15160"
"56","23051","3001"
"56","23051","3002"
"56","23051","3003"
"56","23051","3004"
"56","23061","1001"
"56","23061","1003"
"56","23061","1005"
"56","23061","1006"
"56","23071","1009"
"56","23071","1010"
"56","23071","1011"
"56","23081","2001"
"56","23081","2002"
"56","23081","2003"
"56","23081","2004"
"56","23081","2005"
"56","23081","2006"
"56","23081","2010"
"56","23081","3005"
"56","23091","2007"
"56","23091","5002"
"56","23091","5005"
"56","23091","5006"
"56","23091","5007"
"56","23091","5015"
"56","23091","5017"
"56","23091","5018"
"56","25051","4001"
"56","25051","4003"
"56","25051","4004"
"56","25051","4005"
"56","25051","4006"
"56","25051","4010"
"62","0","10030"
"62","0","20001"
"65","0","14640"
"68","0","10760"
"68","0","10790"
"68","0","11450"
"68","0","13929"
"68","0","14250"
"7","0","22581"
"70","0","11570"
"70","0","22981"
"70","20011","10110"
"70","20011","10120"
"70","20011","10130"
"70","20011","11390"
"70","20011","11680"
"70","20011","11690"
"70","20011","11700"
"70","20011","11710"
"70","20011","11720"
"70","20011","11730"
"70","20011","11790"
"70","20011","11810"
"70","20011","11820"
"70","20011","15460"
"70","20011","15461"
"70","20011","22551"
"70","20011","22621"
"70","20011","22971"
"70","20017","11090"
"70","20017","11091"
"70","20017","11092"
"70","20017","11093"
"70","20017","11094"
"70","20017","11095"
"70","20017","11096"
"70","20017","11097"
"70","22961","11830"
"71","0","10020"
"71","0","10070"
"71","0","14290"
"71","0","14300"
"71","0","14320"
"71","0","15330"
"71","0","15480"
"71","0","15652"
"71","0","22051"
"73","0","14350"
"76","0","12540"
"76","0","15260"
"78","0","12620"
"79","0","14629"
"90","0","14520"
"90","25791","15421"
"90","25791","15422"
"90","25791","15423"
"90","25791","15424"
"94","0","23301"
"95","11100","11110"
"95","13320","13620"
"95","13330","13630"
"95","13340","13640"
"95","13350","13650"
"95","13360","13660"
"95","13370","13670"
"95","13380","13680"
"95","13390","13690"
"95","13400","13700"
"95","13410","13710"
"95","13420","13720"
"95","13430","13730"
"95","13440","13740"
"95","13460","13760"
"95","13470","13770"
"95","13480","13780"
"95","13490","13790"
"95","13510","13810"
"95","13540","13840"
"95","14460","14470"
"95","15240","15250"
