featureID,featureEnable,featureGTIS,SortBy
"1","25771|","0","-1"
"10","22071","22075","-1"
"100","14490|14500|","22745","-1"
"101","25281","25285","-1"
"11","20021","20025","-1"
"131","20671|14080|","24005","-1"
"17","23031","23035","-1"
"2","24021","21225","-1"
"20","20091|21171|22911|","20225","-1"
"23","22221","22225","-1"
"26","20061","20065","-1"
"3","22941","22945","-1"
"32","20051","20055","-1"
"39","20131","21425","-1"
"44","21781","21785","-1"
"46","20211|21641|","0","-1"
"47","22151","22155","-1"
"52","20201","20205","-1"
"55","20191","20195","-1"
"56","1001|1003|1005|1006|1009|1010|1011|2001|2002|2003|2004|2005|2006|2010|3001|3002|3003|3004|3005|4001|4010|4003|4004|4005|4006|2007|5002|5015|5017|5018|5006|5005|5007|","23255","-1"
"61","21561","21565","-1"
"62","20001","20005","-1"
"65","22041","22045","-1"
"68","23021","23025","-1"
"7","22571","22575","-1"
"70","20011|22981|11570|","0","-1"
"71","25021","25025","-1"
"72","25031","25035","-1"
"73","25011","25015","-1"
"76","23121","23125","-1"
"77","20571","20575","-1"
"78","20591","20595","-1"
"86","25181","25185","-1"
"90","24051","24055","-1"
"94","21181","21185","-1"
"95","22351","22355","-1"
